"biotypes"	"length"	"gc"
"PER3"	"unknown"	6301.2	46.149459587714084
"UTS2"	"unknown"	602.0	41.38192484365488
"TNFRSF9"	"unknown"	5993.0	43.73435674954113
"PARK7"	"unknown"	932.0	49.54533564266643
"ERRFI1"	"unknown"	3129.0	43.751997443272614
"LOC102724539"	"unknown"	495.0	46.86868686868687
"SLC45A1"	"unknown"	2527.0	63.23703996834191
"RERE"	"unknown"	7503.666666666667	56.403227047455744
"LOC102724552"	"unknown"	694.0	46.68587896253602
"ENO1"	"unknown"	2368.5	55.20525027569327
"MIR6728"	"unknown"	89.0	60.674157303370784
"ENO1-AS1"	"unknown"	446.0	48.87892376681614
"CA6"	"unknown"	1145.25	49.919852647096455
"SLC2A7"	"unknown"	1539.0	58.9993502274204
"SLC2A5"	"unknown"	1859.0	52.97076881665299
"GPR157"	"unknown"	1153.0	67.90980052038161
"MIR34A"	"unknown"	110.0	50.90909090909091
"H6PD"	"unknown"	9071.0	56.17746626032793
"SPSB1"	"unknown"	3117.0	56.592877767083735
"LOC100506022"	"unknown"	2363.0	51.5234870926788
"SLC25A33"	"unknown"	1461.0	48.80219028062971
"TMEM201"	"unknown"	3879.5	62.76678159205686
"PIK3CD"	"unknown"	5411.0	57.42007022731473
"PIK3CD-AS1"	"unknown"	1823.0	55.45803620405924
"PIK3CD-AS2"	"unknown"	674.3333333333334	58.311427147425775
"CLSTN1"	"unknown"	5197.0	59.16902389856551
"CTNNBIP1"	"unknown"	2978.0	57.085235496062054
"LZIC"	"unknown"	1407.0	38.73489694385217
"NMNAT1"	"unknown"	2890.3333333333335	47.08478801771764
"MIR5697"	"unknown"	78.0	38.46153846153846
"RBP7"	"unknown"	655.0	50.0763358778626
"UBE4B"	"unknown"	5685.5	48.675901126715786
"KIF1B"	"unknown"	9122.5	44.89400499556163
"MIR1273D"	"unknown"	86.0	54.651162790697676
"RNU6-1"	"unknown"	105.81818181818181	46.306460834762724
"RNU6-2"	"unknown"	106.45454545454545	46.03153738050582
"RNU6-7"	"unknown"	106.0	46.39783481081312
"RNU6-9"	"unknown"	106.45454545454545	46.03153738050582
"RNU6-8"	"unknown"	106.0	46.39783481081312
"PGD"	"unknown"	2344.3333333333335	51.62115262170236
"APITD1-CORT"	"unknown"	1359.8	51.303145774306415
"APITD1"	"unknown"	1337.0	48.44206522282995
"CORT"	"unknown"	1231.0	46.95369618196588
"DFFA"	"unknown"	2715.5	53.37487675225823
"PEX14"	"unknown"	1929.0	61.4307931570762
"CASZ1"	"unknown"	6200.0	62.275158625825085
"C1orf127"	"unknown"	2761.0	60.23180007243752
"TARDBP"	"unknown"	4217.0	40.78728954232867
"MASP2"	"unknown"	1593.5	58.441593491591824
"SRM"	"unknown"	1273.0	64.17910447761194
"EXOSC10"	"unknown"	2804.5	49.58059791342979
"MTOR"	"unknown"	8725.0	52.26361031518625
"MTOR-AS1"	"unknown"	706.0	44.05099150141643
"ANGPTL7"	"unknown"	2290.0	48.209606986899566
"UBIAD1"	"unknown"	3654.0	51.77887246852764
"PTCHD2"	"unknown"	5214.0	62.715765247410815
"LOC101929181"	"unknown"	1284.0	52.570093457943926
"FBXO2"	"unknown"	1715.0	66.23906705539359
"FBXO44"	"unknown"	2946.5714285714284	58.37949572602473
"FBXO6"	"unknown"	1549.0	58.231116849580374
"MAD2L2"	"unknown"	1135.5	61.4670604334227
"DRAXIN"	"unknown"	1773.0	61.75972927241963
"AGTRAP"	"unknown"	1202.2	62.40992351316434
"C1orf167"	"unknown"	4672.0	64.70462328767124
"LOC102724659"	"unknown"	1868.0	55.78158458244111
"MTHFR"	"unknown"	7150.0	57.3986013986014
"CLCN6"	"unknown"	5670.666666666667	53.23923961975044
"NPPA-AS1"	"unknown"	1662.0	49.15764139590854
"NPPA"	"unknown"	854.0	55.15222482435597
"NPPB"	"unknown"	698.0	56.73352435530086
"RNU5E-1"	"unknown"	119.0	40.33613445378151
"KIAA2013"	"unknown"	2823.0	62.69925611052072
"PLOD1"	"unknown"	3031.0	59.221379082810955
"MFN2"	"unknown"	4604.5	54.264474458680354
"MIIP"	"unknown"	1801.0	64.29761243753471
"MIR6729"	"unknown"	65.0	75.38461538461539
"TNFRSF8"	"unknown"	3640.5	61.59920595690795
"MIR7846"	"unknown"	96.0	75.0
"TNFRSF1B"	"unknown"	3675.0	59.51020408163265
"MIR4632"	"unknown"	61.0	70.49180327868852
"VPS13D"	"unknown"	16309.5	46.85610665213665
"SNORA59A"	"unknown"	152.0	53.94736842105263
"SNORA59B"	"unknown"	152.0	53.94736842105263
"DHRS3"	"unknown"	1722.0	55.807200929152145
"MIR6730"	"unknown"	67.0	61.19402985074627
"AADACL4"	"unknown"	1575.0	48.95238095238095
"AADACL3"	"unknown"	3940.5	48.76033529245861
"C1orf158"	"unknown"	1048.0	51.14503816793893
"PRAMEF12"	"unknown"	1778.0	54.330708661417326
"PRAMEF1"	"unknown"	1815.0	47.592592592592595
"PRAMEF11"	"unknown"	1690.0	51.06508875739645
"HNRNPCL1"	"unknown"	1170.0	48.11965811965812
"PRAMEF2"	"unknown"	1642.0	50.48721071863581
"PRAMEF4"	"unknown"	1840.0	49.78260869565217
"PRAMEF10"	"unknown"	1525.0	52.39344262295082
"PRAMEF7"	"unknown"	1558.0	55.198973042362006
"PRAMEF6"	"unknown"	1720.0	51.51162790697674
"LOC101929983"	"unknown"	1437.0	51.356993736951985
"HNRNPCL3"	"unknown"	1006.0	48.359840954274354
"HNRNPCL4"	"unknown"	928.0	48.22198275862069
"PRAMEF25"	"unknown"	1939.0	49.25219185146983
"PRAMEF26"	"unknown"	1785.0	50.364145658263304
"LOC649324"	"unknown"	2214.0	48.87082204155375
"LOC645354"	"unknown"	2214.0	48.87082204155375
"HNRNPCL2"	"unknown"	1156.0	48.01038062283737
"PRAMEF9"	"unknown"	1437.0	51.56576200417537
"LOC400736"	"unknown"	2163.0	48.82108183079057
"LOC391003"	"unknown"	2125.0	48.8
"PRAMEF22"	"unknown"	1443.0	53.083853083853086
"PRAMEF5"	"unknown"	1855.0	50.512129380053906
"PRAMEF8"	"unknown"	1558.0	55.13478818998716
"LOC645382"	"unknown"	1518.0	52.37154150197628
"PRAMEF15"	"unknown"	1862.0	50.05370569280344
"PRAMEF14"	"unknown"	2164.0	48.38262476894639
"PRAMEF19"	"unknown"	2123.0	48.704663212435236
"PRAMEF16"	"unknown"	1584.0	50.505050505050505
"PRAMEF17"	"unknown"	1578.0	50.633713561470216
"PRAMEF20"	"unknown"	1597.0	51.784596117720724
"LRRC38"	"unknown"	1908.0	59.119496855345915
"PDPN"	"unknown"	2721.0	46.80871825580292
"PRDM2"	"unknown"	6078.25	46.890931659420865
"KAZN"	"unknown"	4213.0	54.16588648400906
"TMEM51-AS1"	"unknown"	6979.0	52.15646940822467
"TMEM51"	"unknown"	1964.0	55.0775876291287
"C1orf195"	"unknown"	434.0	46.089789622064416
"FHAD1"	"unknown"	5090.0	50.27504911591355
"EFHD2"	"unknown"	2419.0	61.926415874328235
"CTRC"	"unknown"	899.0	60.734149054505004
"CELA2A"	"unknown"	920.0	57.82608695652174
"CELA2B"	"unknown"	923.0	56.87973997833153
"CASP9"	"unknown"	2897.8	53.85496512684964
"DNAJC16"	"unknown"	6084.0	44.04276768872594
"AGMAT"	"unknown"	3154.0	51.2999365884591
"DDI2"	"unknown"	2680.0	49.55223880597015
"RSC1A1"	"unknown"	1854.0	42.82632146709817
"PLEKHM2"	"unknown"	4122.0	62.566715186802526
"SLC25A34"	"unknown"	3073.0	59.38821998047511
"TMEM82"	"unknown"	1265.0	66.6403162055336
"FBLIM1"	"unknown"	2549.6666666666665	59.16779466282426
"UQCRHL"	"unknown"	538.0	44.795539033457246
"FLJ37453"	"unknown"	2732.0	59.004392386530014
"SPEN"	"unknown"	12227.0	51.66434939069273
"MIR5096"	"unknown"	68.4	53.78354978354978
"ZBTB17"	"unknown"	2709.0	62.27848949392897
"C1orf64"	"unknown"	927.0	57.38942826321467
"HSPB7"	"unknown"	2892.0	59.54356846473029
"CLCNKA"	"unknown"	2492.0	59.21592469495738
"CLCNKB"	"unknown"	2400.0	59.05846705964206
"FAM131C"	"unknown"	1701.0	66.54908877131099
"EPHA2"	"unknown"	3964.0	60.267406659939454
"ARHGEF19"	"unknown"	3029.0	62.693958402112905
"RSG1"	"unknown"	1560.0	62.243589743589745
"FBXO42"	"unknown"	6238.0	47.16255210003206
"SZRD1"	"unknown"	3638.3333333333335	54.52747461053601
"SPATA21"	"unknown"	2015.0	56.9727047146402
"NECAP2"	"unknown"	2029.6666666666667	53.22503218113695
"CROCCP3"	"unknown"	5368.0	51.88152011922504
"RNU1-1"	"unknown"	164.0	54.26829268292683
"RNU1-2"	"unknown"	164.0	54.26829268292683
"RNU1-3"	"unknown"	164.0	54.26829268292683
"RNU1-28P"	"unknown"	164.0	54.26829268292683
"RNVU1-18"	"unknown"	164.0	54.26829268292683
"RNU1-27P"	"unknown"	164.0	54.26829268292683
"RNU1-4"	"unknown"	164.0	54.26829268292683
"FAM231B"	"unknown"	1312.0	52.82012195121951
"MIR3675"	"unknown"	73.5	41.4938911514254
"NBPF1"	"unknown"	5947.0	48.99949554397175
"CROCCP2"	"unknown"	1765.0	55.977337110481585
"MST1P2"	"unknown"	2636.0	60.925644916540215
"FAM231A"	"unknown"	510.0	58.30065359477124
"FAM231C"	"unknown"	655.0	57.913486005089055
"ESPNP"	"unknown"	2015.0	67.09677419354838
"MST1L"	"unknown"	4668.0	48.179091688089116
"CROCC"	"unknown"	6656.0	66.97716346153847
"MFAP2"	"unknown"	1090.0	59.75877672851292
"ATP13A2"	"unknown"	3934.3333333333335	64.4489902964754
"SDHB"	"unknown"	1149.0	48.738033072236725
"PADI2"	"unknown"	4363.0	54.297501719000685
"PADI1"	"unknown"	3847.0	56.09565895502989
"PADI3"	"unknown"	3188.0	56.05395232120452
"MIR3972"	"unknown"	87.0	60.91954022988506
"PADI4"	"unknown"	2265.0	57.086092715231786
"PADI6"	"unknown"	2396.0	55.13355592654424
"RCC2"	"unknown"	4037.5	54.2070842589657
"ARHGEF10L"	"unknown"	4377.5	61.76735216696658
"ACTL8"	"unknown"	1861.0	56.52874798495433
"LOC101927876"	"unknown"	2470.0	49.878542510121456
"IGSF21"	"unknown"	1944.0	63.477366255144034
"KLHDC7A"	"unknown"	5057.0	58.15701008503065
"PAX7"	"unknown"	3522.3333333333335	59.53818318206262
"TAS1R2"	"unknown"	2521.0	58.944863149543835
"ALDH4A1"	"unknown"	2998.6666666666665	59.96731073696305
"MIR4695"	"unknown"	74.0	70.27027027027027
"MIR1290"	"unknown"	78.0	39.743589743589745
"IFFO2"	"unknown"	5835.0	55.441302485004286
"UBR4"	"unknown"	15882.0	51.718927087268604
"EMC1"	"unknown"	6653.0	46.798144204738385
"MRTO4"	"unknown"	2273.0	53.585569731632205
"AKR7L"	"unknown"	2215.5	50.87461301257589
"AKR7A3"	"unknown"	1241.0	60.43513295729251
"LOC100506730"	"unknown"	2490.0	43.373493975903614
"AKR7A2"	"unknown"	2619.0	55.09736540664376
"PQLC2"	"unknown"	2022.8	63.10505867914425
"CAPZB"	"unknown"	1990.25	54.195758606005164
"MINOS1-NBL1"	"unknown"	2117.5	62.16837048209597
"MINOS1"	"unknown"	3817.4	48.1803235411719
"RPS14P3"	"unknown"	838.0	46.062052505966584
"NBL1"	"unknown"	2084.375	62.43584118714756
"HTR6"	"unknown"	3388.0	63.04604486422668
"TMCO4"	"unknown"	2974.0	58.43981170141224
"RNF186"	"unknown"	1250.0	58.08
"OTUD3"	"unknown"	6514.0	44.688363524715996
"PLA2G2E"	"unknown"	487.0	59.5482546201232
"PLA2G2A"	"unknown"	945.25	52.25311204558637
"PLA2G5"	"unknown"	1894.0	49.47201689545935
"PLA2G2D"	"unknown"	1916.5	56.35585854374937
"PLA2G2F"	"unknown"	2719.0	61.934534755424785
"PLA2G2C"	"unknown"	453.0	54.52538631346578
"UBXN10-AS1"	"unknown"	509.0	50.68762278978389
"UBXN10"	"unknown"	5578.0	46.77303693079957
"VWA5B1"	"unknown"	4475.0	59.486033519553075
"LINC01141"	"unknown"	3783.0	51.04414485857785
"CAMK2N1"	"unknown"	2351.0	52.488302849851124
"MUL1"	"unknown"	2458.0	56.712774613506916
"FAM43B"	"unknown"	2582.0	67.85437645236252
"CDA"	"unknown"	959.0	57.35140771637122
"PINK1"	"unknown"	2660.0	58.57142857142857
"MIR6084"	"unknown"	110.0	77.27272727272727
"PINK1-AS"	"unknown"	4443.0	51.02408282691875
"DDOST"	"unknown"	2126.0	54.09219190968956
"KIF17"	"unknown"	4012.3333333333335	63.35970252775794
"SH2D5"	"unknown"	3769.5	61.56984492047502
"HP1BP3"	"unknown"	3921.0	42.9737311910227
"EIF4G3"	"unknown"	5294.5	46.07494319807377
"MIR1256"	"unknown"	119.0	42.016806722689076
"ECE1"	"unknown"	5140.0	58.31544350892837
"LOC100506801"	"unknown"	2574.0	53.57420357420357
"NBPF3"	"unknown"	3884.75	48.7746389104327
"ALPL"	"unknown"	2447.3333333333335	59.989984910417995
"RAP1GAP"	"unknown"	3376.6666666666665	59.64776327203694
"USP48"	"unknown"	3438.0	43.427185310009094
"LDLRAD2"	"unknown"	4012.0	62.33798604187438
"HSPG2"	"unknown"	14341.5	64.5260258455643
"CELA3B"	"unknown"	1003.0	59.32203389830509
"CELA3A"	"unknown"	907.0	57.99338478500551
"LOC101928043"	"unknown"	698.0	51.146131805157594
"LINC00339"	"unknown"	1130.5	46.82046143285286
"CDC42"	"unknown"	1991.6666666666667	41.81030179101747
"WNT4"	"unknown"	3905.0	57.74647887323944
"MIR4418"	"unknown"	62.0	53.225806451612904
"ZBTB40"	"unknown"	8848.0	51.1095442681076
"EPHA8"	"unknown"	3424.5	64.16966276745087
"MIR6127"	"unknown"	109.0	55.04587155963303
"C1QA"	"unknown"	1098.0	61.0200364298725
"C1QC"	"unknown"	1179.5	60.108490620291455
"C1QB"	"unknown"	1044.0	60.24904214559387
"EPHB2"	"unknown"	10970.0	55.98896334948094
"MIR4684"	"unknown"	82.0	52.4390243902439
"MIR4253"	"unknown"	68.0	64.70588235294117
"LACTBL1"	"unknown"	1733.0	68.03231390652049
"C1orf234"	"unknown"	510.0	49.6078431372549
"KDM1A"	"unknown"	3071.0	51.25307206080334
"MIR3115"	"unknown"	68.0	41.1764705882353
"MIR4419A"	"unknown"	77.0	59.74025974025974
"LUZP1"	"unknown"	8454.0	48.06017577376561
"HTR1D"	"unknown"	2835.0	48.74779541446208
"LINC01355"	"unknown"	3511.0	35.17516377100541
"HNRNPR"	"unknown"	7678.857142857143	35.326716883112404
"ZNF436"	"unknown"	4404.0	44.78337488545978
"ZNF436-AS1"	"unknown"	1779.5	52.54256125615183
"TCEA3"	"unknown"	1750.0	53.142857142857146
"ASAP3"	"unknown"	4115.5	57.915463149130446
"E2F2"	"unknown"	5193.0	57.50048141729251
"LOC101928163"	"unknown"	1212.0	54.78547854785479
"ID3"	"unknown"	1239.0	57.46569814366425
"MDS2"	"unknown"	1027.0	52.093476144109054
"RPL11"	"unknown"	633.5	49.723661915678264
"TCEB3"	"unknown"	4943.0	47.82520736394902
"TCEB3-AS1"	"unknown"	1084.0	46.77121771217712
"PITHD1"	"unknown"	1622.0	50.801479654747226
"LYPLA2"	"unknown"	1624.0	61.576354679802954
"GALE"	"unknown"	1601.3333333333333	57.891358337257905
"HMGCL"	"unknown"	1501.5	53.96244583533944
"FUCA1"	"unknown"	2118.0	49.244570349386215
"CNR2"	"unknown"	1775.0	54.985915492957744
"MIR378F"	"unknown"	78.0	52.56410256410256
"PNRC2"	"unknown"	2414.0	38.23529411764706
"SRSF10"	"unknown"	5002.0	36.89407158604449
"MYOM3"	"unknown"	5800.0	56.3448275862069
"IL22RA1"	"unknown"	2962.0	57.765023632680624
"IFNLR1"	"unknown"	4490.333333333333	54.39048502416146
"LOC284632"	"unknown"	1846.0	51.40845070422535
"GRHL3"	"unknown"	2648.25	52.71473135078953
"STPG1"	"unknown"	2744.25	51.373294219899066
"NIPAL3"	"unknown"	5426.0	48.544047180243275
"RCAN3AS"	"unknown"	384.3333333333333	48.63376886572763
"RCAN3"	"unknown"	2536.1	45.587824447396265
"LOC100506985"	"unknown"	973.0	46.86536485097636
"NCMAP"	"unknown"	3990.0	47.24310776942356
"SRRM1"	"unknown"	3934.3333333333335	47.20669686582113
"CLIC4"	"unknown"	4434.0	37.911592241768155
"RUNX3"	"unknown"	4305.0	58.875500491047816
"MIR6731"	"unknown"	72.0	59.72222222222222
"MIR4425"	"unknown"	84.0	44.04761904761905
"SYF2"	"unknown"	1714.0	39.093341222914646
"RSRP1"	"unknown"	1465.0	49.829351535836174
"RHD"	"unknown"	2760.0	48.145105896970136
"TMEM50A"	"unknown"	2302.0	41.31190269331017
"RHCE"	"unknown"	1372.5	49.24238892858234
"TMEM57"	"unknown"	3636.5	43.771982436631994
"LDLRAP1"	"unknown"	2935.0	57.5809199318569
"MAN1C1"	"unknown"	4550.5	54.99145122001888
"SEPN1"	"unknown"	4281.0	59.846253839151814
"MTFR1L"	"unknown"	2015.25	51.42498196072924
"LOC646471"	"unknown"	3653.0	56.255132767588286
"AUNIP"	"unknown"	1777.0	48.64093883909109
"PAQR7"	"unknown"	3023.0	52.72907707575256
"STMN1"	"unknown"	1745.0	46.701522342610986
"MIR3917"	"unknown"	93.0	70.96774193548387
"PAFAH2"	"unknown"	3581.0	47.7520245741413
"EXTL1"	"unknown"	4014.0	63.52765321375187
"SLC30A2"	"unknown"	2425.5	59.78266306522609
"TRIM63"	"unknown"	1770.0	52.20338983050848
"PDIK1L"	"unknown"	4255.666666666667	37.34748570157893
"FAM110D"	"unknown"	1524.0	65.28871391076116
"ZNF593"	"unknown"	649.0	63.63636363636363
"CNKSR1"	"unknown"	2541.3333333333335	60.17835529731599
"CATSPER4"	"unknown"	1419.0	53.34742776603242
"LOC101928303"	"unknown"	1078.0	55.38033395176252
"CEP85"	"unknown"	3632.3333333333335	51.68867602872879
"SH3BGRL3"	"unknown"	1115.0	62.869955156950674
"UBXN11"	"unknown"	1689.6666666666667	61.16635812932004
"CD52"	"unknown"	505.0	51.881188118811885
"AIM1L"	"unknown"	5245.0	61.84938036224976
"ZNF683"	"unknown"	1690.0	59.765543103738054
"LIN28A"	"unknown"	4014.0	48.48031888390633
"DHDDS"	"unknown"	3271.0	52.80470160768826
"LOC101928324"	"unknown"	722.5	45.0724033753516
"HMGN2"	"unknown"	1969.0	44.43880142204164
"RPS6KA1"	"unknown"	3155.5	57.59328107835755
"MIR1976"	"unknown"	52.0	61.53846153846154
"ARID1A"	"unknown"	8259.5	57.390367004196975
"PIGV"	"unknown"	2567.0	50.91110359413188
"ZDHHC18"	"unknown"	3139.0	59.60496973558458
"SFN"	"unknown"	1315.0	62.73764258555133
"GPN2"	"unknown"	1510.0	60.59602649006622
"GPATCH3"	"unknown"	2129.0	58.337247534053546
"NR0B2"	"unknown"	1271.0	58.221872541306055
"NUDC"	"unknown"	1813.0	55.81908439051296
"KDF1"	"unknown"	1803.0	59.73377703826955
"TRNP1"	"unknown"	1949.0	60.64648537711647
"FAM46B"	"unknown"	2374.0	62.55265374894692
"SLC9A1"	"unknown"	4511.5	59.65866509113913
"WDTC1"	"unknown"	4817.5	58.15257116590682
"TMEM222"	"unknown"	1734.5	61.46786578266358
"ACTG1P20"	"unknown"	2652.0	47.1342383107089
